type,formula,params,p_values,r_squared
cubic,V00MBMPFMLOAD ~ V00MBMNFMLOAD + I(V00MBMSFMLOAD**2) + I(V00MBMSFMLOAD**3),"Intercept                0.001219
V00MBMNFMLOAD            2.812594
I(V00MBMSFMLOAD ** 2)    0.144784
I(V00MBMSFMLOAD ** 3)   -0.049363
dtype: float64","Intercept                4.235260e-01
V00MBMNFMLOAD            0.000000e+00
I(V00MBMSFMLOAD ** 2)    2.560703e-21
I(V00MBMSFMLOAD ** 3)    2.690823e-31
dtype: float64",0.9850649520257306
interaction,V00MBMSFMLOAD ~ V00MBMNFMLOAD:V00MBMPFMLOAD,"Intercept                      0.012604
V00MBMNFMLOAD:V00MBMPFMLOAD    0.291092
dtype: float64","Intercept                      5.482464e-09
V00MBMNFMLOAD:V00MBMPFMLOAD    0.000000e+00
dtype: float64",0.7881036277480802
interaction,V00MBMSFMLOAD ~ V00MBMNFMLOAD*V00MBMPFMLOAD,"Intercept                      0.005512
V00MBMNFMLOAD                  0.480642
V00MBMPFMLOAD                  0.161996
V00MBMNFMLOAD:V00MBMPFMLOAD    0.019323
dtype: float64","Intercept                      1.593439e-03
V00MBMNFMLOAD                  9.713825e-14
V00MBMPFMLOAD                  1.399486e-15
V00MBMNFMLOAD:V00MBMPFMLOAD    1.573128e-02
dtype: float64",0.8601269996519694
interaction,V00MBMSFMLOAD ~ V00MBMNFMLOAD*I(V00MBMPFMLOAD**2),"Intercept                              0.005595
V00MBMNFMLOAD                          0.712093
I(V00MBMPFMLOAD ** 2)                  0.044666
V00MBMNFMLOAD:I(V00MBMPFMLOAD ** 2)   -0.010446
dtype: float64","Intercept                              1.341816e-03
V00MBMNFMLOAD                          4.213138e-84
I(V00MBMPFMLOAD ** 2)                  1.076800e-16
V00MBMNFMLOAD:I(V00MBMPFMLOAD ** 2)    1.023203e-09
dtype: float64",0.8603235064419059
interaction,V00MBMSFMLOAD ~ V00MBMNFMLOAD*I(V00MBMPFMLOAD**3),"Intercept                              0.005766
V00MBMNFMLOAD                          0.878643
I(V00MBMPFMLOAD ** 3)                  0.007075
V00MBMNFMLOAD:I(V00MBMPFMLOAD ** 3)   -0.002168
dtype: float64","Intercept                              9.796800e-04
V00MBMNFMLOAD                          0.000000e+00
I(V00MBMPFMLOAD ** 3)                  2.608020e-13
V00MBMNFMLOAD:I(V00MBMPFMLOAD ** 3)    1.911805e-10
dtype: float64",0.8595481880875245
interaction,V00MBMNFMLOAD ~ V00MBMPFMLOAD:V00MBMSFMLOAD,"Intercept                      0.007926
V00MBMPFMLOAD:V00MBMSFMLOAD    0.256526
dtype: float64","Intercept                      8.696513e-08
V00MBMPFMLOAD:V00MBMSFMLOAD    0.000000e+00
dtype: float64",0.858241869064974
interaction,V00MBMNFMLOAD ~ V00MBMPFMLOAD*V00MBMSFMLOAD,"Intercept                      0.000019
V00MBMPFMLOAD                  0.313980
V00MBMSFMLOAD                  0.038513
V00MBMPFMLOAD:V00MBMSFMLOAD    0.010690
dtype: float64","Intercept                      9.709731e-01
V00MBMPFMLOAD                  0.000000e+00
V00MBMSFMLOAD                  1.000645e-11
V00MBMPFMLOAD:V00MBMSFMLOAD    3.942679e-09
dtype: float64",0.9849279316219157
interaction,V00MBMNFMLOAD ~ V00MBMPFMLOAD*I(V00MBMSFMLOAD**2),"Intercept                              0.000084
V00MBMPFMLOAD                          0.330478
I(V00MBMSFMLOAD ** 2)                  0.019928
V00MBMPFMLOAD:I(V00MBMSFMLOAD ** 2)    0.000506
dtype: float64","Intercept                              8.730637e-01
V00MBMPFMLOAD                          0.000000e+00
I(V00MBMSFMLOAD ** 2)                  5.655212e-10
V00MBMPFMLOAD:I(V00MBMSFMLOAD ** 2)    4.464505e-01
dtype: float64",0.9849311406486777
interaction,V00MBMNFMLOAD ~ V00MBMPFMLOAD*I(V00MBMSFMLOAD**3),"Intercept                              0.000133
V00MBMPFMLOAD                          0.335786
I(V00MBMSFMLOAD ** 3)                  0.007479
V00MBMPFMLOAD:I(V00MBMSFMLOAD ** 3)   -0.000320
dtype: float64","Intercept                              7.990603e-01
V00MBMPFMLOAD                          0.000000e+00
I(V00MBMSFMLOAD ** 3)                  3.554310e-08
V00MBMPFMLOAD:I(V00MBMSFMLOAD ** 3)    2.081951e-01
dtype: float64",0.9849038885487099
interaction,V00MBMPFMLOAD ~ V00MBMNFMLOAD:V00MBMSFMLOAD,"Intercept                      0.034953
V00MBMNFMLOAD:V00MBMSFMLOAD    1.932043
dtype: float64","Intercept                      1.366396e-10
V00MBMNFMLOAD:V00MBMSFMLOAD    0.000000e+00
dtype: float64",0.7795797818759419
interaction,V00MBMPFMLOAD ~ V00MBMNFMLOAD*V00MBMSFMLOAD,"Intercept                      0.000106
V00MBMNFMLOAD                  2.955055
V00MBMSFMLOAD                  0.192796
V00MBMNFMLOAD:V00MBMSFMLOAD   -0.216727
dtype: float64","Intercept                      9.430652e-01
V00MBMNFMLOAD                  0.000000e+00
V00MBMSFMLOAD                  2.878693e-34
V00MBMNFMLOAD:V00MBMSFMLOAD    9.199209e-61
dtype: float64",0.9859530689595947
interaction,V00MBMPFMLOAD ~ V00MBMNFMLOAD*I(V00MBMSFMLOAD**2),"Intercept                              0.000795
V00MBMNFMLOAD                          2.907727
I(V00MBMSFMLOAD ** 2)                  0.078665
V00MBMNFMLOAD:I(V00MBMSFMLOAD ** 2)   -0.065550
dtype: float64","Intercept                              5.935185e-01
V00MBMNFMLOAD                          0.000000e+00
I(V00MBMSFMLOAD ** 2)                  9.548093e-22
V00MBMNFMLOAD:I(V00MBMSFMLOAD ** 2)    2.304127e-62
dtype: float64",0.9857411562647401
interaction,V00MBMPFMLOAD ~ V00MBMNFMLOAD*I(V00MBMSFMLOAD**3),"Intercept                              0.001515
V00MBMNFMLOAD                          2.911576
I(V00MBMSFMLOAD ** 3)                  0.010561
V00MBMNFMLOAD:I(V00MBMSFMLOAD ** 3)   -0.010481
dtype: float64","Intercept                              3.161599e-01
V00MBMNFMLOAD                          0.000000e+00
I(V00MBMSFMLOAD ** 3)                  3.542605e-05
V00MBMNFMLOAD:I(V00MBMSFMLOAD ** 3)    6.473047e-31
dtype: float64",0.9852763806915708
